,elitism size,mc option,mutation prob,crossover prob,"instance 0 value, num stocks","instance 1 value, num stocks","instance 2 value, num stocks","instance 3 value, num stocks","instance 4 value, num stocks","instance 5 value, num stocks","instance 6 value, num stocks","instance 7 value, num stocks","instance 8 value, num stocks","instance 9 value, num stocks","instance 10 value, num stocks","instance 11 value, num stocks","instance 12 value, num stocks","instance 13 value, num stocks","instance 14 value, num stocks","instance 15 value, num stocks","instance 16 value, num stocks","instance 17 value, num stocks","instance 18 value, num stocks","instance 19 value, num stocks","instance 20 value, num stocks"
10,8,FIXED,0.1,0.75,"(623, 16)","(698, 20)","(8518, 49)","(5683, 51)","(876, 33)","(102881, 127)","(29353, 98)","(16124, 85)","(112020, 166)","(114355, 159)","(12340, 83)","(583952, 304)","(237837, 240)","(111281, 194)","(563798, 340)","(345552, 301)","(51766, 171)","(2495597, 608)","(1352105, 496)","(618680, 405)","(3053478, 707)"
11,0,DHM/ILC,,,"(629, 16)","(381, 19)","(7501, 49)","(4922, 51)","(1109, 34)","(103518, 127)","(23491, 96)","(13327, 84)","(123049, 167)","(84785, 153)","(9717, 81)","(586082, 304)","(257525, 242)","(112644, 196)","(589551, 344)","(351320, 301)","(59536, 174)","(2422287, 605)","(1309734, 493)","(586560, 401)","(2975924, 704)"
12,10,DHM/ILC,,,"(629, 16)","(286, 19)","(9437, 50)","(5066, 51)","(1714, 34)","(103370, 127)","(22736, 96)","(14994, 84)","(116170, 166)","(85196, 154)","(8579, 80)","(587089, 304)","(247037, 242)","(109370, 195)","(568772, 341)","(355966, 301)","(59157, 173)","(2535811, 609)","(1348281, 495)","(653969, 406)","(2780458, 700)"
13,4,DHM/ILC,,,"(653, 16)","(373, 19)","(6114, 48)","(4808, 50)","(898, 33)","(99162, 126)","(33895, 100)","(13394, 83)","(114555, 166)","(93119, 155)","(9493, 82)","(566355, 303)","(234555, 240)","(113634, 196)","(609869, 342)","(346030, 299)","(55519, 173)","(2404425, 604)","(1250607, 492)","(602692, 404)","(2753236, 697)"
14,8,ILM/DHC,,,"(1200, 17)","(309, 19)","(7184, 49)","(5088, 50)","(1017, 33)","(97928, 126)","(28363, 98)","(12051, 82)","(108227, 165)","(91313, 156)","(6759, 80)","(579644, 304)","(230053, 240)","(94933, 194)","(590707, 343)","(376117, 303)","(57835, 174)","(2377347, 602)","(1341143, 494)","(559890, 400)","(2987951, 703)"
15,4,FIXED,0.1,0.85,"(635, 16)","(392, 19)","(9380, 50)","(5483, 51)","(855, 33)","(104888, 127)","(31920, 98)","(12580, 83)","(112389, 166)","(99301, 157)","(8787, 81)","(567060, 303)","(272706, 244)","(116263, 196)","(602088, 342)","(378638, 304)","(57747, 173)","(2520390, 608)","(1330464, 494)","(614735, 404)","(2939289, 703)"
16,6,ILM/DHC,,,"(620, 16)","(441, 19)","(7124, 49)","(6010, 51)","(787, 33)","(103687, 127)","(28387, 98)","(12940, 84)","(107673, 165)","(81709, 153)","(10040, 83)","(567322, 303)","(234613, 240)","(104439, 192)","(564825, 340)","(334082, 299)","(62009, 173)","(2419193, 604)","(1345444, 495)","(629537, 402)","(2885531, 700)"
17,0,DHM/ILC,,,"(645, 16)","(410, 19)","(9026, 50)","(5104, 50)","(975, 33)","(99082, 126)","(29582, 98)","(11971, 82)","(108162, 165)","(80927, 153)","(9875, 82)","(596374, 305)","(246213, 242)","(103129, 194)","(614107, 344)","(341003, 301)","(57057, 173)","(2386494, 603)","(1236501, 490)","(559063, 400)","(2804116, 699)"
18,0,DHM/ILC,,,"(1174, 17)","(727, 20)","(7114, 49)","(7298, 52)","(1373, 34)","(99777, 126)","(25273, 97)","(13891, 84)","(119610, 167)","(93669, 156)","(11480, 83)","(582223, 304)","(251873, 242)","(113455, 197)","(550576, 340)","(374686, 304)","(59127, 174)","(2450686, 606)","(1372354, 496)","(548817, 401)","(2842154, 698)"
19,2,FIXED,0.2,0.75,"(1182, 17)","(284, 19)","(7514, 49)","(4721, 50)","(807, 33)","(102942, 127)","(25104, 97)","(12164, 83)","(101787, 164)","(76053, 153)","(8892, 81)","(573312, 303)","(194030, 235)","(81848, 190)","(567960, 340)","(325331, 298)","(50861, 171)","(2416977, 605)","(1231009, 490)","(480102, 394)","(2691994, 692)"
20,0,DHM/ILC,,,"(620, 16)","(658, 20)","(10813, 51)","(5017, 51)","(839, 33)","(106064, 127)","(37762, 101)","(13456, 84)","(121910, 168)","(89520, 156)","(7460, 81)","(576014, 303)","(301029, 247)","(116558, 197)","(595226, 344)","(383286, 304)","(62955, 175)","(2454244, 606)","(1264913, 491)","(575694, 402)","(2760455, 700)"
21,8,ILM/DHC,,,"(652, 16)","(338, 19)","(8428, 50)","(4734, 50)","(1009, 33)","(99680, 126)","(26954, 97)","(12723, 83)","(93160, 162)","(88626, 155)","(10787, 82)","(609329, 307)","(269041, 242)","(117465, 198)","(606566, 343)","(347174, 300)","(56883, 174)","(2408812, 603)","(1263320, 491)","(592555, 402)","(2892856, 700)"
22,10,ILM/DHC,,,"(692, 16)","(442, 19)","(5604, 48)","(5391, 51)","(868, 33)","(107821, 128)","(28251, 97)","(13179, 83)","(120517, 167)","(98622, 156)","(9510, 81)","(553847, 302)","(275573, 243)","(99774, 193)","(592999, 341)","(347612, 299)","(63660, 176)","(2464642, 607)","(1219296, 489)","(625250, 404)","(2876924, 700)"
23,2,ILM/DHC,,,"(618, 16)","(391, 19)","(5767, 48)","(4962, 51)","(948, 33)","(98106, 126)","(26269, 97)","(14591, 84)","(113594, 166)","(89686, 155)","(8657, 81)","(590596, 305)","(266060, 243)","(102214, 195)","(601131, 342)","(323808, 299)","(60433, 173)","(2459838, 606)","(1316313, 492)","(576474, 400)","(2865391, 702)"
24,2,FIXED,0.2,0.85,"(621, 16)","(440, 19)","(6706, 49)","(4343, 50)","(1204, 34)","(97228, 126)","(16989, 94)","(9857, 81)","(109432, 165)","(70855, 151)","(8146, 81)","(581109, 304)","(211919, 237)","(95209, 192)","(603701, 343)","(346719, 300)","(47611, 170)","(2460636, 605)","(1341442, 495)","(521660, 397)","(2701067, 690)"
